t,x
0.0,270.0
0.03333317467872442,270.0
0.06666634935744883,270.0
0.09999952403617325,270.0
0.13333269871489767,402.5
0.1666658733936221,413.0
0.19999904807234653,419.5
0.23333222275107096,424.0
0.2666653974297954,417.0
0.2999985721085198,408.0
0.33333174678724425,399.0
0.3666649214659687,360.0
0.3999980961446931,328.0
0.43333127082341755,292.0
0.466664445502142,258.0
0.4999976201808664,229.0
0.5333307948595908,200.0
0.5666639695383152,174.5
0.5999971442170396,150.0
0.6333303188957641,365.5
0.6666634935744885,63.5
0.6999966682532129,83.0
0.7333298429319374,68.5
0.7666630176106618,57.5
0.7999961922893862,53.5
0.8333293669681107,53.5
0.8666625416468351,53.5
0.8999957163255595,53.5
0.933328891004284,62.5
0.9666620656830084,74.0
0.9999952403617328,97.5
1.0333284150404571,131.5
1.0666615897191816,142.5
1.099994764397906,164.5
1.1333279390766304,188.0
1.1666611137553549,215.5
1.1999942884340793,240.5
1.2333274631128037,268.0
1.2666606377915282,298.0
1.2999938124702526,324.0
1.333326987148977,345.5
1.3666601618277014,382.0
1.3999933365064259,397.0
1.4333265111851503,410.5
1.4666596858638747,420.5
1.4999928605425992,427.0
1.5333260352213236,433.5
1.566659209900048,426.5
1.5999923845787725,419.0
1.633325559257497,408.0
1.6666587339362213,393.5
1.6999919086149458,374.5
1.7333250832936702,349.0
1.7666582579723946,320.5
1.799991432651119,281.5
1.8333246073298435,252.0
1.866657782008568,224.5
1.8999909566872923,197.0
1.9333241313660168,172.0
1.9666573060447412,147.0
1.9999904807234656,136.0
2.03332365540219,71.0
2.0666568300809143,87.5
2.0999900047596385,80.5
2.1333231794383627,72.0
2.166656354117087,69.0
2.199989528795811,69.0
2.2333227034745353,69.0
2.2666558781532595,76.0
2.2999890528319837,82.5
2.333322227510708,93.5
2.366655402189432,126.5
2.3999885768681564,136.5
2.4333217515468806,151.0
2.466654926225605,174.0
2.499988100904329,197.5
2.533321275583053,225.5
2.5666544502617774,253.0
2.5999876249405016,280.5
2.633320799619226,305.0
2.66665397429795,337.5
2.6999871489766742,367.0
2.7333203236553985,386.0
2.7666534983341227,401.0
2.799986673012847,413.5
2.833319847691571,420.5
2.8666530223702953,423.0
2.8999861970490195,423.0
2.9333193717277437,419.0
2.966652546406468,413.0
2.999985721085192,400.0
3.0333188957639163,385.0
3.0666520704426405,364.0
3.0999852451213648,337.0
3.133318419800089,305.5
3.166651594478813,270.5
3.1999847691575374,242.5
3.2333179438362616,213.0
3.266651118514986,188.5
3.29998429319371,163.5
3.333317467872434,143.5
3.3666506425511584,132.5
3.3999838172298826,72.5
3.433316991908607,89.0
3.466650166587331,82.5
3.4999833412660553,75.5
3.5333165159447795,72.5
3.5666496906235037,72.0
3.599982865302228,75.0
3.633316039980952,84.0
3.6666492146596763,90.5
3.6999823893384005,72.0
3.7333155640171247,131.0
3.766648738695849,141.0
3.799981913374573,160.5
3.8333150880532973,181.0
3.8666482627320216,209.0
3.8999814374107458,236.0
3.93331461208947,263.5
3.966647786768194,290.5
3.9999809614469184,316.0
4.033314136125643,349.0
4.066647310804368,373.5
4.099980485483092,390.0
4.133313660161817,404.0
4.166646834840542,414.0
4.199980009519266,418.0
4.233313184197991,419.0
4.266646358876716,418.0
4.29997953355544,414.5
4.333312708234165,405.5
4.36664588291289,392.0
4.399979057591614,374.0
4.433312232270339,350.5
4.4666454069490635,326.0
4.499978581627788,289.0
4.533311756306513,261.0
4.5666449309852375,233.5
4.599978105663962,205.0
4.633311280342687,181.5
4.6666444550214115,157.0
4.699977629700136,140.0
4.733310804378861,129.5
4.766643979057585,100.5
4.79997715373631,89.5
4.833310328415035,83.5
4.866643503093759,80.0
4.899976677772484,78.5
4.933309852451209,79.0
4.966643027129933,81.5
4.999976201808658,88.5
